Page Title,New node,Introduction,Essays,Arguments,Features,Reviews,GPPN Student Essay Contest,Andrew Wellington Cordier Student Essay Contest,Visual Essays,Read
South Asia,/content/south-asia,Editors' Foreword - JIA Editorial Board,"South Asia Map Statehood in South Asia - Ainslie Embree
Congress Decline and Party Pluralism in India - Christopher Candland
Anarchy in Afghanistan - Zalmay Khalilzad
Uncertain Success: The Political Economy of Indian Economic Reform - Amitava Krishna Dutt
Whose Independence? The Social Impact of Economic Reform in India - Smitu Kothari
Women, Population and Sustainable Development in South Asia - Nafis Sadik
Financing Women Entrepreneurs in South Asia- A Conversation with Nancy Barry - Nancy Barry
Local Control Versus Technocracy: The Bangladesh Flood Response Study - Murray Leaf
Refugee Protection in South Asia - Ravi Nair
Future Uncertain: Indian Security Policy Approaches the Millenium - Sumit Ganguly
Negotiating the CTBT-India's Security Concerns and Nuclear Disarmament - Arundhati Ghose
The CTBT and Nuclear Disarmament-The U.S. View - John Holum",,,"Academic Book Review
Ethnicity, Security, and Separatism in India - Arati Rao

Student Book Reviews
Books Received
",,"The Andrew Wellington Cordier Essay 
Economic Liberalization and Separatist Nationalism: The Cases of Sri Lanka and Tibet - Greg Alling",,"JSTOR
ProQuest"
Privatization,/content/privatization,"Special 50th Anniversary Founding Editor's Preface - JIA Editorial Board
Editors' Foreword - JIA Editorial Board
","Privatization and Political Theory - Harvey Feigenbaum and Jeffrey Henig
Methods of Privatization - Andrew Berg and Elliot Berg
Ideological Motivations of Privatization in Great Britain Versus Developing Countries - Alan N. Miller
Privatization, the State and International Institutions - Rubens Ricupero
Privatization and Corruption in Transition Economies - Daniel Kaufmann and Paul Siegelbaum
Lessons from Argentina's Privatization Experience - Domingo Cavallo
Gender Bias and Family Distress: The Privatization Experience in Argentina - Rosa N. Geldstein
Poland's Privatization Process: A View From the Inside-An Interview - Janusz Lewandowski
Contracting Out as a Vehicle for Privatization: Half-Speed Ahead - Jonas Prager
Alleviating Motion Sickness: Transportation Privatization Trends in Developing Countries - Peter N. Marber
Privatization and the Consolidation of Democratic Regimes: An Analysis and an Alternative - Zhiyuan Cui","Privatization in Practice
The Czechoslovak Experience with Privatization - Tomáš Ježek
Czech Privatization: The Case of Filmové Studio Barrandov - Michael Millea
Tales From Two Privatizations: Russia and Former East Germany - Scott Thomas
Legal Aspects of the French Privatization Program: Review of the Pechiney Privatization as a Practical Case Dominique Borde and Marie-Chrystel Dang-Tran
Privatization: A Case Study in Corruption - Michelle Celarier
",,"Book Reviews
Academic Book Review
Patricio Albanales

Student Book Reviews",,Retreating From the Commanding Heights: Privatization in an Indian Context - A.J. Goulding,,"JSTOR
ProQuest"
Religion,/content/religion,Editors' Foreword - JIA Editorial Board,"The Worldwide Rise of Religious Nationalism - Mark Juergensmeyer
Religious Fundamentalism and Human Rights - Johan D. van der Vyver
Terrorism in the Name of Religion - Magnus Ranstorp
Where Hope and History Rhyme: Prospects for Peace in Northern Ireland? - Fionnuala Ni Aolain
Religion and Politics in Jerusalem - Marshall Breger
The Middle East: In Search of an Equilibrium between Transcendent Idealism & Practicality - Mohammad Mahallati
A Theology of Insurrection?: Religion and Politics in Mexico - J. Charlene Floyd
Asian Values - Peter Moody
African Churches in Social Transformation - Jesse Mugambi
Religion, Conflict and Prospects for Reconciliation in Bosnia, Croatia and Yugoslavia - Gerard Powers
The Ruined Center: Religion and Mass Politics in India - Peter van der Veer",,,"Book Reviews
Academic Book Review
Matthew A. Levitt

Student Book Reviews
Books Received
",,From Accommodation to Confrontation: The Muslim Brotherhood in the Mubarak Years - Joel Campagna,,"JSTOR
ProQuest"
Contemporary China,/content/contemporary-china,Editors' Foreword - JIA Editorial Board,"Why China Matters - Edward Friedman
Addressing the Human Rights Issue in Sino-American Relations - Peter Van Ness
Securities Markets and China's International Economic Integration - Solomon M. Karmel
Business Law in China: Evolutionary Revolution - Edmund C. Duffy
Economic Development, Political Stability and International Respect - Jia Qingguo
Culture, ""Race"" and Nation: The Formation of National Identity in Twentieth Century China - Frank Dikotter
","Dissident Statements
Human Rights, Democracy and China - Liu Qing - Translated by Yuan Xue
The Humanitarian and Technical Dilemmas of Population Control in China - Su Xiaokang - Translated by Yuan Xue
Unique Spiritual Engineers: The Infighting Among Chinese Intellectuals - Liu Binyan - Translated by Judy Chen
The Need to Restrain China - Harry Wu
On Repression and Reform - Li Lu
The Establishment of Extensive Private Organizations: The Foremost Task for Human Rights Guarantees and Promoting Democracy - Tang Baiqiao - Translated by Yuan Xue
Succession Politics and China's Future - David Bachman
Regional Security Issues - June Teufel Dreyer
Maximum Flexibility, Rigid Framework: China's Policy Towards Hong Kong and its Implications - Steve Tsang
Migration From China - Ronald Skeldon
Rising Sectionalism in China - Dali L. Yang and Houkai Wei
Social Change and the Chinese Communist Party: Domestic Problems of Rule - Peter Ferdinand
",,"Book Reviews
Academic Book Review
Kellee S. Tsai

Student Book Reviews
",,Women and the State in Post-1949 Rural China - Kellee S. Tsai,,"JSTOR
ProQuest"
Continuity and Transformation,/content/continuity-and-transformation,Editors' Foreword - JIA Editorial Board,"Competing Identities in the Arab World - Nubar Hovsepian
Peace and Democracy in the Middle East: The Constraints of Soft Budgets - Lisa Anderson
Sheikhs and Souks: Capital Market Formation in the Middle East - Peter N. Marber
Peace and Political Reform in the Gulf: The Private Sector - Andrew C. Hess
Rivers of Conflict, Rivers of Peace - Miriam R. Lowi
Iran: The Adolescent Revolution - Gary Sick",,"The U.N. and Arms Control in Iraq: A New Role? - Rolf Ekéus
Conventional Arms Exports and Stability in the Middle East - Robert G. Neumann
Middle East Nuclear Stability: The State of the Region and the State of the Debate - Shai Feldman
Communal Strife in Lebanon: Ancient Animosities or State Intervention? - Aziz Abu-Hamad","Book Review
James W. Davis

Student Book Reviews
Books Received
",,External Capital and Political Liberalizations: A Typology of Middle Eastern Development in the 1980s and 1990 - Bradley L. Glasser,,"JSTOR
ProQuest"
Transcending National Boundaries,/content/transcending-national-boundaries,Editors' Foreword - JIA Editorial Board,"Sovereignty: An Introduction and Brief History - Daniel Philpott
Capital Mobility, State Autonomy and Political Legitimacy - Louis W. Pauly
Identity, Integration and Security: Solving the Sovereignty Puzzle in E.U. Studies - Ole Wæver
Economic Interdependence and Challenges to the Nation-State: The Emergence of Natural Economic Territories in the Asia-Pacifi - Amos A. Jordan and Jane Khanna
Transnational Organized Crime: An Imminent Threat to the Nation-State? - Louise I. Shelley",,"The U.N. and Humanitarian Assistance - Ambassador Jan Eliasson
Non-Governmental Organizations and their Influence on International Society - Ann Marie Clark
The Sovereign Client - Lee C. Buchheit
Exporting Feminism - Jean Bethke Elshtain
Fisheries, Sovereignties and Red Herrings - Bruce P. Chadwick
Citizenship, Nationality and other Identities - William Alonso","Book Review
Michael Gilligan

Student Book Reviews",,"Illegal Transnational Labor: Mexicans in California and Haitians in the Dominican Republic - Catherine C. Orenstein
Appraising the U.N. at 50: The Looming Challenge - Richard Falk",,"JSTOR
ProQuest"
Contemporary Issues in World Trade,/content/contemporary-issues-world-trade,Editors' Foreword - JIA Editorial Board,"Trade, Protectionism and the Future of Welfare Capitalism - John Gerard Ruggie
NAFTA and Democratization in Mexico - Carlos A. Heredia
The Role of U.S. Intelligence in Promoting Economic Interests - Senator Dennis DeConcini
Internationalization: Implications for Workers - Ray Marshall
Regionalism and Layered Governance: The Choice of Trade Institutions - Beth V. Yarbrough and Robert M. Yarbrough
Alliances, Preferential Trading Arrangements and Sanctions - Edward D. Mansfield
Mideast Economies After the Israel-PLO Handshake - Patrick Clawson
Trade, Integration and Transformation in Eastern Europe - Jozef M. van Brabant
India: A New Tiger on the Block? - Arvind Panagariya
Has the Lomé Convention Failed ACP Trade? - Carol Cosgrove",,"Symposium: The United States and the World Economy
The World Trading System - Jagdish Bhagwati
International Policy Coordination - Richard N. Cooper
U.S. Investments in Foreign Securities - Burton G. Malkiel","Book Reviews
Books Received
",,Trade-Related Investment Measures: U.S. Efforts to Shape a Pro-Business World Legal System - Dallas DeLuca,,"JSTOR
ProQuest"
Refugees and International Population Flows,/content/refugees-and-international-population-flows,Editors' Foreword - JIA Editorial Board,,"Commentary on Current Refugee Issues - Aristide Zolberg
The International Refugee Regime: Stretched to the Limit? - Gil Loescher
Displacement and Human Rights: Current Dilemmas in Refugee Protection - Arthur C. Helton
Responses of Industrial Countries to Asylum-Seekers, Refugees and Migrants - Charles B. Keely and Sharon Stanton Russell
","The Evolution of UNHCR - Sadako Ogata
Durable Solutions in a New Political Era - Dennis Gallagher
The Relief-Development Continuum: Some Notes on Rethinking Assistance for Civilian Victims of Conflict - Peter Sollis
Environmental Degradation and Population Flows - Astri Suhrke
Civil War in Sudan: The Paradox of Human Rights and National Sovereignty - Judith Mayotte
Malawian Refugee Policy, International Politics and the One-Party Regime - Agnès Callamard
Conference Notes
Stirring the Pot: Immigrant and Refugee Challenges to the United States and the World - Paul Burkhead","Book Review
The Politics of Asylum - Gary Rubin

Student Book Reviews",,Promoting Economic Self-Reliance: A Case Study of Afghan Refugee Women in Pakistan - Christina M. Schultz,,"JSTOR
ProQuest"
Power of the Media in the Global System,/content/power-media-global-system,Editors' Foreword - JIA Editorial Board,"The Mass Media and Democracy Between the Modern and the Postmodern - James W. Carey
The Media's Role in U.S. Foreign Policy - Edward S. Herman
Transnational Media: Creating Consumers Worldwide - Herbert I. Schiller
Toward a NWICO for the Twenty-First Century? - Hamid Mowlana",,"Sending Cross-Border Static: On the Fate of Radio Free Europe and the Influence of International Broadcasting - Malcolm S. Forbes, Jr.
Conference Notes
Democratization and Forces in the African Media - Tunji Lardner
The Press and Power in the Russian Federation - Linda Jensen
Terrorism and Censorship: The Media in Chains - Terry Anderson
Public Relations and International Affairs: Effects, Ethics and Responsibility - James E. Grunig
Eclipse of Reason: The Media in the Muslim World - Abdelwahab El-Affendi
The Market Versus the State: The Chinese Press Since Tiananmen - Zhang Xiaogang
Living Dangerously: Issues of Peruvian Press Freedom - Gustavo Gorriti","Book Review
The Demise of the War Correspondent? - Anne Nelson

Student Book Reviews
Books Received",,The Cold War Comes to Africa: Cordier and the 1960 Congo Crisis - Carole J.L. Collins,,"JSTOR
ProQuest"
Keeping the Peace,/content/keeping-peace,Editors' Foreword - JIA Editorial Board,Raising Standards: America's Challenge in the Post-Cold War World - John Kerry,,"Setting an Agenda for the United Nations - Boutros Boutros-Ghali
Collective Security in Europe After the Cold War - James E. Goodby
New World Disorder: A Critique of the United Nations - Kim R. Holmes
The Making of a Security Community: The United Nations After the Cold War - Peter J. Fromuth
Enforcing Environmental Security: The Challenges of Compliance with International Obligations - Philippe Sands
New Conflicts, New Challenges: The Evolving Role of Non-Governmental Actors - Farouk Mawlawi
Building the Peace: Lessons from El Salvador - David Holiday and William Stanley
Regionalism and the Quest for Security: ASEAN and the Cambodian Conflict - Muthiah Alagappa
Post-Cold War State Disintegration: The Failure of International Conflict Resolution in Afghanistan - Barnett R. Rubin","Book Review
Prospects for International Order and Governance - W. Howard Wriggins
Dilemmas in International Security - Lisa Anderson

Student Book Reviews
",,Kant and the Illusion of Collective Security - Gabriel L. Negretto,,"JSTOR
ProQuest"
Sub-Saharan Africa,/content/sub-saharan-africa,Editor's Foreword - JIA Editorial Board,"Juridical Statehood in Sub-Saharan Africa - Robert Jackson
Challenges to Africa's Boundaries in the New World Order - Jeffrey Herbst
Political Transition and the Dilemma of Civil Society in Africa - Peter M. Lewis
The Historicity of African Societies - Jean-François Bayart
Sub-Saharan Africa: Development Performance and Prospects - Edward V. K. Jaycox
The World Bank and the IMF in Sub-Saharan Africa: Undermining Development and Environmental Sustainability - Patricia Adams",,"Challenging U.S. Foreign Policy toward Africa: Conversations with - Randall Robinson
Africa's Post-Cold War Demilitarization: Domestic and Global Causes - Darryl C. Thomas and Ali A. Mazrui
International Intervention in South Africa: The Difficult Transition to Development Assistance - Anthony W. Marx
Conference Notes
Seeking Regional Economic Cooperation in Africa - Aggrey Awori
African Initiatives for Development: The Practice of Regional Economic Cooperation in Southern Africa - Carol B. Thompson","Book Review
On the Tides of the Cold War - Michael Clough and Michael Schuman
Governance, State and Society - George Bond

Student Book Reviews
Books Received",,South Africa: The Impact of Sanctions - Bronwen Manby,,"JSTOR
ProQuest"
Rethinking Nationalism and Sovereignty,/content/rethinking-nationalism-and-sovereignty,Editor's Foreword - JIA Editorial Board,"The Modernity of Nationalism: Nations, States and Nation-States in the Contemporary World - Alexander J. Motyl
Sovereignty in Transition - Ruth Lapidoth
Self-Determination and the Right to Secede - Allen Buchanan
Nationalism in Historical Perspective - Hedva Ben-Israel
Secession, Self-Determination and Nonintervention: In Quest of a Normative Symbiosis - Alexis Heraclides
Challenging the Nation-State in Latin America - Rodolfo Stavenhagen
Sovereignty, Statecraft and Stability in the Middle East - F. Gregory Gause, III
The Dramatic Reemergence of the Quebec Independence Movement - Maurice Pinard
The Geopolitics of People Power: The Pursuit of the Nation-State in East Central Europe - Raymond Pearson
Chickens Coming Home to Roost: A Perspective on Soviet Ethnic Relations - Teresa Rakowska-Harmstone
On the Economic Viability of New Nation-States - Gertrude E. Schroeder
Twilight of the Federations in East Central Europe and the Soviet Union - Reneo Lukic",,,"Book Review
The Political Community Revisited - Thomas Spira
Unthinking Hindu Nationalism - David Ludden

Student Book Reviews",,"Ethnicity, Sovereignty and Transitions from Non-Democratic Rule - Timothy M. Frye",,"JSTOR
ProQuest"
East Central Europe,/content/east-central-europe,Editor's Foreword - JIA Editorial Board,"Political Coalitions, Economic Choices - Ellen Comisso
Weber, Trotsky and Holmes on the Study of Leninist Regimes - Ken Jowitt
Nationalism and National Minorities in East and Central Europe - George Schöpflin
The Road to Democracy and Pluralism in Poland: An Interview with Bronislaw Geremek - John Micgiel
Constitutional Developments in East Central Europe - Herman Schwartz
Elements of a New European Security Order - Gregory F. Treverton
Pan-European Security: A Soviet Scholar's View - Henry Trofimenko
A More European Germany, A More German Europe - Daniel Hamilton
The Politics of Economic Transformation - Deborah Milenkovitch
The Lessons of Economic Reform: The Polish Case - Stanislaw Wellisz
Image Making in Hungarian Politics: An Interview with Imre Oravecz - Gregory L. White
The East European Journalist - János Horvat
Remaking the Political Field in Hungary: From the Politics of Confrontation to the Politics of Competition - László Bruszt and David Stark",,,"Book Review
Eastern Europe: The Quest for National Political Identities - Joseph Rothschild

Book Review
Today's Lessons from Yesterday's Research: Thė Case of the GDR - Peter Marcuse

Student Book Reviews
",,Privatization in Poland: The Problem of Valuation - Christopher Wellisz,,"JSTOR
ProQuest"
The Politics of the Global Environment,/content/politics-global-environment,Editor's Foreword - JIA Editorial Board,"ECO '92: Critical Challenges and Global Solutions - Maurice F. Strong
Environmental Learning in a Decentralized Political World - Dean E. Mann
Political Mobilization, Agenda Building and International Environmental Policy - Sheldon Kamieniecki
The Threat from Environmental Destruction in Eastern Europe - Helmut Schreiber
Key Environmental Issues for Developing Countries - Gary S. Hartshorn
Development for the People and the Environment - Richard Sandbrook
Sustainability: A Task for the North - Ernst U. von Weizsäcker
Multilateral Cooperation and Global Change - Peter S. Thacher
The Emergence of International Environmental Law - Oscar Schachter",,,"Book Review
The Convention on Climate Change: The Task Ahead - Kilaparti Ramakrishna

Student Book Reviews
",,Into the Unkown: Can the United Nations Bring Peace to Cambodia? - Trisha Thomas,,"JSTOR
ProQuest"
"Theory, Values and Practice in International Relations",/content/theory-values-and-practice-international-relations,"Foreword - Robert L. Rothstein
Preface - Annette Baker Fox","William T.R. Fox and the Study of World Politics - Elizabeth C. Hanson
Realist Thought and Neorealist Theory - Kenneth N. Waltz
The Hard Facts of International Theory - Morton A. Kaplan
Woe to the Orphans of the Scientific Revolution - Donald J. Puchala
Models and Cases in the Study of International Conflict - Robert Jervis
Alliance Theory: A Neorealist First Cut - Glenn H. Snyder
Soviet Foreign Policy and World Politics - William Zimmerman
Toward a Theory of International Regimes - Mark W. Zacher
Limits and Possibilities of Weak Theory: Interpreting North-South Relations - Robert L. Rothstein
Law and Politics in International Relations: State and Human Values - Louis Henkin
Reason and Change in International Life: Justifying a Hypothesis - Ernst B. Haas",,,"Book Review
Lori Fisler Damrosch

Student Book Reviews",,The Theory of Optimum Currency Areas Revisited - Robert A. Ogrodnick,,"JSTOR
ProQuest"
Mexico,/content/mexico,Editor's Forword - JIA Editorial Board,"Mexico and the United States: The Historical Structure - of their Conflict - Lorenzo Meyer
The Mexican Regime in its Dilemma - Adolfo Gilly
The PRI and Political Liberalization - John Bailey and Leopoldo Gómez
Mexico's Economy at the Crossroads - Rudiger Dornbusch
Interview: Jesus Silva Herzog - Blanca Heredia
Social Movements and Mexico's Crisis - Diane E. Davis
U.S. Immigration Policy toward Mexico in a Global Economy - Saskia Sassen
Voices of the Opposition: From '68 to Cardenismo Toward a Chronicle of Social Movements - Carlos Monsiváis
Voices of the Opposition: A Conversation with Cuauhtémoc Cárdenas - Jesús Galindo López
Salinas's Intemational Relations Gamble - Jorge G. Castañeda
U.S.-Mexico Relations: An Optimistic View - Susan Kaufman Purcell",,,"Book Review
A Mexican and an American Debate the U.S. Role in Mexico - Douglas A. Chalmers

Student Book Reviews",,"The Long Twilight Struggle: Low-Intensity Warfare and the Salvadoran Miltary - Kate Doyle and Peter S. Duklis, Jr.",,"JSTOR
ProQuest"
U.S. Alliance Management Toward the Year 2000,/content/us-alliance-management-toward-year-2000,Editor's Forword - JIA Editorial Board,"Alliances in Theory and Practice: What Lies Ahead? - Stephen M. Walt
The American Role in NATO - David P. Calleo
NATO and the Dilemmas of a Nuclear Alliance - Josef Joffe
Can NATO Survive Success? - Paul C. Warnke
Beyond Security: U.S.-Japanese Relations in the 1990s - Nathaniel B. Thayer
Forging a Hemispheric Bargain: The Bush Opportunity - Robert A. Pastor
The United States, South Asia and American Interests - Paul Kreisberg
Subterranean Alliances: America's Global Proxy Network - Michael T. Klare
The Challenge of Security in a Changing World - Friedrich Kratochwil
Realist Praxis: Neo-Isolationism and Structural Change - Stephen D. Krasner",,,"America's Global Challenge - David E. Morey
U.S. Foreign Economic Policy and the Latin America Time Bomb: Debt, Austerity and the Limits of Stability - Pamela Falk
No More War? - Loren B. Thompson
Toward One World of Human Rights? - Peter Juviler

Student Reviews
Books Received
",,Unequal Allies: Negotiations Over U.S. Bases in the Philippine - Jonathan Stromseth,,"JSTOR
ProQuest"
Gorbachev's Era of New Thinking,/content/gorbachevs-era-new-thinking,"Editor's Foreword - JIA Editorial Board
Note to Readers","Linking Gorbachev's Domestic and Foreign Policies - George W. Breslauer
The Domestic and International Sources of Gorbachev's Reforms - Seweryn Bialer
Perestroika: A New Historical Stage - Moshe Lewin
Soviet Economic Reforms: The Motivation and Content of Perestroika - Richard E. Ericson
INTERVIEW: Redefining Socialism at Home and Abroad - Aleksandr Yakovlev
INTERVIEW: The Media Under Gorbachev - Vitalii Korotich
International Law, Foreign Policy and the Gorbachev Style - William E. Butler
Is Gorbachev Changing the Rules of Defense Decision-Making? - Condoleezza Rice
Gorbachev's National Dilemma - Martha B. Olcott
The Changing Contours of Soviet-East European Relations - Allen Lynch
Islam and Gorbachev's Policy in the Middle East - Carol R. Saivetz
Implications of Gorbachev for U.S.-Soviet Relations - Michael Armacost",,,"Book Review
Out of Afghanistan - David K. Shipler

Student Reviews
Books Received",,Soviet Naval Developments in East Asia - Geoffrey Ziebart,,"JSTOR
ProQuest"
The State of the International Political Economy,/content/state-international-political-economy,Editor's Foreword - JIA Editorial Board,"The Future of the American Empire - Susan Strange
The U.S.-Japan Economic Relationship Under the International Payments Imbalance - Masaru Yoshitomi
Interdependence and Regionalism - Kazuo Nukazawa
West Germany's Role in the International Economy: Prospects for Economic Policy Coordination - Elke Thiel
Managing International Trade Conflicts: Explanations and Prescription - John A.C. Conybeare
The United States and Trade Policy: Reversing Gears - Jagdish Bhagwati
Manufacturing a Trade Policy in an Era of Change - John Heinz
Closing the Books on Third World Debt - Karin Lissakers
Conditionality and Foreign Assistance: Trends and Impacts - Margee Ensign
Capital Flight: Causes, Consequences and Cures - Sunil Gulati
",,,"Book Review
Banking and the International Economy: Uncertain Leadership - Martin Mayer

Book Review
The State of Cooperation in Theories of State Cooperation: The Evolution of a Category Mistake - David E. Spiro

Student Review
The Economics of International Systemic Change - Kamal S. Shehadi

Student Review
International Political Economy in Times of Stress - Blanca Heredia

Readers' Forum
Books Received",,"The South Korean Export Miracle: Comparative Advantage or Government Creation? Lessons for Latin America - Michelle Gittelman
",,"JSTOR
ProQuest"
Europe,/content/europe,Editor's Forward - JIA Editorial Board,"Recollections of a Marshall Planner - Lincoln Gordon
Strategic Defense and the German-American Security Connection - Wolfram Hanrieder
Western Europe and the U.S. Strategic Defense Initiative - David Yost
The Third West German Republic: Continuity in Change - Peter Katzenstein
Western Europe and the Impossible War - Jean-Baptiste Duroselle
The Swedish Model and Western Europe 1945-1988 - Kurt Samuelsson
Europe as a Global Power: Implications of Making and Marketing Arms in France - Edward Kolodziej",,,"Book Review
The Marshall Plan in Retrospect: A Review of Recent Scholarship - William Diebold, Jr.

Book Review
The German Question Revisited or the Elusiveness of Power - Anne-Marie Le Gloannec

Book Review
Eastern Europe: How to Change the System Without Changing It - Teresa Rakowska-Harmstone

Student Review
Books Received
",,,,"JSTOR
ProQuest"
The Pacific Basin,/content/pacific-basin,Editor's Foreword - JIA Editorial Board,"ASEAN as an International Regime - Donald K. Emmerson
ASEAN Security Prospects - Sheldon Simon
The Rising Sun: Japan's Foreign Aid to ASEAN, the Pacific Basin and the Republic of Korea - Robert M. Orr, Jr.
The Antinomies of Success in South Korea - Clive Hamilton and Richard Tanter
The Entangling Conflict in Korea - Joo-Hong Nam
The Pacific Island Microstates - Norman Meller
Ethnic Chinese in Southeast Asia: Problems and Prospects - Leo Suryadinata
The Muslim Secessionist Movement - Peter Bacho",,,"Book Review
Security in the Asia and Pacific Region - Herbert J. Ellison
Books Received
",,"The Economics of Illegal Development: International Law and Natural Resource Exploitation in Namibia, 1966-1986 - Christopher Cosslett",,"JSTOR
ProQuest"
Opposition and Politial Change,/content/opposition-and-political-change,Editor's Foreword - JIA Editorial Board,"Lawless Government and Illegal Opposition: Reflections on the Middle East - Lisa Anderson
University Students in South Korean Politics: Patterns of Radicalization in the 1980s - Wonmo Dong
Rural Revolt in the Philippines: Threats To Stability? - Peter Bacho
Violent Protest in India: The Punjab Movement - Pravin Patel
Options for Transforming South Africa - Heribert Adam
Moscow and Third World National Liberation Movements: The Soviet Role - Galia Golan
Political Violence and Other Opposition Strategies: A Look at Some Recent Evidence - Ekkart Zimmermann
Governments and Radical Oppositions: The Psychologies of System-Supporting and System-Challenging Behavior - Mostafa Rejai and Kay Phillips",,,"Review Essay
Culture as Opposition in Today's Poland - Irene Grudzinska-Gross

Book Review
Central America and the Caribbean: A Multidimensional Crisis - Alvaro Taboada

Student Reviews
Books Received
",,"The Andrew Wellington Cordier Essay
The Revolutionary Potential of Mexico in the 1980s - Allison Percy",,"JSTOR
ProQuest"
The Arms Trade,/content/arms-trade,Editor's Foreword - JIA Editorial Board,"Global Arms Transfer Patterns in the 1980s: The State of the Trade - Michael T. Klare
U.S. Arms Sales and the Middle East - Senator Richard G. Lugar
Problems in Security Assistance - Senator Claiborne Pell
U.S. Security Assistance to the Third World: Time for a Reappraisal - Noel Koch
Soviet Arms Transfers to the Third World: Characteristics and Consequences - Rajan Menon
The Arms Trade in Recent Wars: The Role of the Superpowers - Stephanie G. Neuman
The Brazilian Arms Industry - Clóvis Brigagão
Middle-Range Arms Suppliers: The Israeli Case - Aaron S. Klieman
New Strategies of Mid-Sized Weapons Exporters: The Federal Republic of Germany a Italy - Ulrich Albrecht
Foreign-Supplied Combat Aircraft: Will They Drop the Third World Bomb? - Leonard S. Spector",,,"Book Review
The Epistemology of Neclear Proliferation - George H. Quester

Readers' Forum
Books Received",,"The Andrew Wellington Cordier Essay
Arms and Aggression in the Horn of Africa - Paul Watson",,"JSTOR
ProQuest"
China in Transition,/content/china-transition,Editor's Foreword - JIA Editorial Board,"China's Open Door Policy, 1978-1984 - Guocang Huan
On A Vast China Market - Armand Hammer
China's Economic Reform and Sino-U.S. Relations - Han Xu
INTERVIEW: U.S.-China Relations - Paul D. Wolfowitz
Soviet Perceptions of Chinese Economic Reforms and the Implications for Reform in the U.S.S.R. - Marshall I. Goldman
China's Open Policy and CITIC's Role - Rong Yiren
Hong Kong and the Modernization of China - Piers Jacobs
The Implications of Reform for Ideology, State and Society in China - Hong Yung Lee
Agricultural Reforms in China - Nicholas R. Lardy
Industrial Reform: Decentralization, Differentiation and the Difficulties - Dorothy J. Solinger
Rejuvenation, Reorganization and the Dilemmas of Modernization in Post-Deng China - Christopher M. Clarke",,,,,"The Andrew Wellington Cordier Essay
Increased Military Sales to China: Problems and Prospects - Wellington Chu",,"JSTOR
ProQuest"
Technology in Space,/content/technology-space,Editor's Foreword - JIA Editorial Board,"War and Peace in Space - Hans Mark
The Strategic Defense Initiative: Addressing Some Misconceptions - Richard N. Perle
Star Wars: Shield or Threat? - Richard L. Garwin
The Technical Feasibility of Ballistic Missile Defense - Robert Jastrow
Assured Strategic Stupidity: The Quest for Ballistic Missile Defense - Richard Ned Lebow
Reagan and the ASAT Issue - Paul B. Stares
Will NATO Survive Ballistic Missile Defense? - Jonathan Dean
Business in Orbit: The Commercial Use of Space - Isaac T. Gillam IV
International Policy Issues in Satellite Communications - Wilson P. Dizard, Jr.
INTELSAT: Facing the Challenge of Tomorrow - Richard R. Colino
Space Technology and Resource Management - Peter S. Thacher
Expectations in Space Law: A Peek into the Future - Stephen Gorove",,,,,,,"JSTOR
ProQuest"
Dilemmas of Democracy,/content/dilemmas-democracy,Editor's Foreword - JIA Editorial Board,"The Philosophy of Democracy-Can its Contradictions be Reconciled? - Leslie M. Lipson
The Past, Present and Future of Democracy - Raymond D. Gastil
INTERVIEW: Democracy and Dissidence in South Korea - Kim Dae Jung
Transitions to Democracy:. Brazil and Argentina in the 1980s - Scott Mainwaring and Eduardo J. Viola
Dilemmas of Political Transition in El Salvador - Enrique A. Baloyra
Constitutional Authoritarianism and the Prospects for Democracy in the - Carolina G. Hernandez
Israeli Democracy 1984 - Asher Arian
The Breakdown of Democracy in Lebanon - Michael C. Hudson
Democracy in Tropical Africa - Robert H. Jackson and Carl G. Rosberg
Democracy and Authoritarianism in South Asia - Craig Baxter
Some Perspectives of Democratization in East Central Europe - Andrew Arato",,,"Book Reviews
Democratic Theory
Douglas A. Chalmers
Spain and Portugal
Eusebio Mujal-León

Readers' Forum
Books Received
",,United States-Vatican Relations: Present Benefits and Future Precaut - Michael W. Galligan,,"JSTOR
ProQuest"
Perspectives on Global Debt,/content/perspectives-global-debt,Editor's Foreword - JIA Editorial Board,"Coping with LDC Debt - Richard S. Weinert
International Markets in the 1980s - Carlos F. Díaz Alejandro
The Debt Crisis in Perspective - John Williamson
INTERVIEW: The U.S. Role in Resolving the Debt Crisis - Robert S. McNamara
Restructuring Debtor Economies: Long-Term Finance - Barend A. de Vries
Developing Countries' Debt: A South Asian Outlook - Shahid J. Burki
Africa's Debt Crisis - Thomas M. Callaghy
How Not To Do It, or the Brazilian Renegotiation Affair - Geraldo de F. Forbes
Society and Business After the Great Reschedulings - Henry S. Bloch",,,"Origins of the Debt Crisis - Karin Lissakers

Readers' Forum
Books Received",,The Declining Industries of Japan: Adjustment and Reallocation - Robert M. Uriu,,JSTOR
